Name,Company,Address,Postal,City,State,Country,Latitude,Longitude,HUC12,HUC12_Name
Cisco Allen Data Center,Cisco Systems,2260 Chelsea Blvd,75013,Allen,Texas,USA,33.1359005,-96.6610056,120301060207,Lower Wilson Creek
Cogent Data Center - Dallas 2,"Cogent Communications, Inc.",146 Parkhouse St,75207,Dallas,Texas,USA,32.783592,-96.8181901,120301050101,Turtle Creek
Aligned DFW-02,Aligned Data Centers,2800 Summit Avenue,75074,Plano,Texas,USA,33.00925386771512,-96.67645229118939,120301060406,Brown Branch-Rowlett Creek
Edged Dallas-Fort Worth DFW01-2,Edged Energy,N Wildwood Dr,75061,Irving,Texas,USA,32.81738603034821,-96.92035609800257,120301031007,Bachman Branch-Elm Fork Trinity River
ServerMania Dallas Data Center,ServerMania Inc,3000 Irving Blvd,75247,Dallas,Texas,USA,32.8081104,-96.85704240000001,120301050101,Turtle Creek
Skybox Atlantic Station,Skybox Datacenters,2300 W Plano Pkwy,75075,Plano,Texas,USA,33.00489908291909,-96.74130636827019,120301060407,Pittman Creek-Spring Creek
Project Orange,Unknown Company,201 Sunrise Road,75146,Lancaster,Texas,USA,32.590015,-96.708979,120301050203,Prairie Creek-Trinity River
Skybox Legacy Campus,Skybox Datacenters,within about 25 miles north of Downtown Austin,75075,Plano,Texas,USA,33.069045,-96.835727,120301031003,Indian Creek-Elm Fork Trinity River
Skybox PowerCampus Dallas,Skybox Datacenters,within near Interstate 35E,75146,Lancaster,Texas,USA,32.5721825,-96.7647927,120301050202,Deep Branch-Tenmile Creek
Consolidated Dallas,Consolidated Communications,400 S Akard St,75202,Dallas,Texas,USA,32.7782042,-96.7989116,120301050101,Turtle Creek
Core Scientific Denton,Core Scientific,8171 Jim Christal Rd,76207,Denton,Texas,USA,33.21317878448416,-97.21073906115087,120301030801,North Hickory Creek
NTT Garland Campus,"NTT DATA, Inc.",2008-2108 Lookout Drive,75044,Garland,Texas,USA,32.97977494059143,-96.65752147145662,120301060407,Pittman Creek-Spring Creek
Lincoln Red Oak Campus,Lincoln Property Company,"within Red Oak, Texas along the newly opened Loop 9 highway",75154,Red Oak,Texas,USA,32.54820407376008,-96.7365274055939,120301050305,Middle Red Oak Creek
Wowrack Dallas,Wowrack,4939 Reading St,75247,Dallas,Texas,USA,32.8069145,-96.86576079999999,120301050101,Turtle Creek
Stream DC DFW-VIII - Wilmer,Stream Data Centers,60 Sunrise Road,75146,Wilmer,Texas,USA,32.5873436,-96.7048638,120301050203,Prairie Creek-Trinity River
Nexus Hubbard Campus,Nexus Data Centers,880 State Hwy 171,76648,Hubbard,Texas,USA,31.8286293,-96.77864249999999,120301080301,North Fork Pin Oak Creek
DataBank Red Oak Campus,DataBank,Batchler Rd & Stainback Rd,75154,Red Oak,Texas,USA,32.53853258755624,-96.73583567482638,120301050305,Middle Red Oak Creek
CyrusOne DFW6 - Richardson,CyrusOne Data Centers,1510 E Lookout Dr,75082,Richardson,Texas,USA,32.98421,-96.696395,120301060407,Pittman Creek-Spring Creek
CyrusOne Whitney Campus,CyrusOne Data Centers,557 County Rd 3610,76692,Whitney,Texas,USA,31.8566055,-97.3555729,120602020601,Coon Creek-Brazos River
Aligned DFW-03,Aligned Data Centers,3801 Britton Rd,76063,Mansfield,Texas,USA,32.55002,-97.07486,120301020603,Low Branch-Mountain Creek
QumulusAI Denton,QumulusAI,750 Precision Dr,76207,Denton,Texas,USA,33.20836260488332,-97.18056201157731,120301030803,Upper Hickory Creek
QTS Irving DC3,QTS Data Centers,6351 Longhorn Drive,75063,Irving,Texas,USA,32.8951994,-96.9812764,120301031006,Cottonwood Branch-Hackberry Creek
Aligned Plano Campus,Aligned Data Centers,2800 Summit Avenue,75074,Plano,Texas,USA,33.00925386771512,-96.67645229118939,120301060406,Brown Branch-Rowlett Creek
QTS South Dallas Campus,QTS Data Centers,303 Mason Rd,75146,Lancaster,Texas,USA,32.5872452,-96.696468,120301050203,Prairie Creek-Trinity River
Google Midlothian Data Center,Google,3800 Railport Pkwy,76065,Midlothian,Texas,USA,32.442994,-97.048836,120301020602,Soap Creek
1000 Coit Road,Lincoln Property Company,1000 Coit Rd,75075,Plano,Texas,USA,33.01502307664025,-96.76480828117784,120301060407,Pittman Creek-Spring Creek
DataBank - 2323 Bryan St,DataBank,2323 Bryan St,75201,Dallas,Texas,USA,32.7872314,-96.794157,120301050101,Turtle Creek
